商品名,一般名詞,大分類,中分類,小分類（カテゴリ）,小分類（商品）,キーワード,店舗,価格（税込）,価格（税抜）,価格テキスト,JANコード,メーカー,在庫,画像URL,登録日時
チェスコ　ジェラールクリーミーウオッシュ　１２５ｇ,洗剤,日用品,掃除用品,洗剤,洗剤,"['洗顔料', '石鹸', 'ボディソープ', 'クリーミー', 'ウォッシュ']",ダイエーネットスーパー,1023.84,948.0,本体¥948.0 / 税込¥1023.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/03/3161717000503_th.jpg,2025-12-27T19:39:41.431729+00:00
ヤマモリ　駿河湾しらすごはん　３～４人前　１８０ｇ,ごはん,食料品,こんにゃく・しらたき,こんにゃく,こんにゃく,"['しらすごはん', 'レトルトごはん', '炊き込みごはん', '冷凍ごはん']",ダイエーネットスーパー,235.44,218.0,本体¥218.0 / 税込¥235.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/54/4903101501154_th.jpg,2025-12-27T21:08:59.049074+00:00
桃屋　きざみにんにく　お徳用　２３０ｇ,きざみにんにく,食料品,ごはんのお供,その他,ごはんのお供,"['きざみにんにく', '桃屋', 'ごはんのお供', '調味料']",ダイエーネットスーパー,581.04,538.0,本体¥538.0 / 税込¥581.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/47/4902880051447_th.jpg,2025-12-27T21:09:21.03152+00:00
桃屋　きざみにんにく　１２５ｇ,きざみにんにく,食料品,ごはんのお供,その他,ごはんのお供,"['桃屋', 'きざみにんにく', 'ごはんのお供', '調味料']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/93/4902880051393_th.jpg,2025-12-27T21:09:20.190981+00:00
桃屋　江戸むらさき　ごはんですよ！　スティック　８ｇ×８本入,ごはんのお供,食料品,ごはんのお供,魚介加工品,ごはんのお供,"['ごはんですよ', '桃屋', '佃煮', '海苔', 'ふりかけ']",ダイエーネットスーパー,343.44,318.0,本体¥318.0 / 税込¥343.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/63/4902880010963_th.jpg,2025-12-27T21:09:08.651725+00:00
トップバリュ　信州米みそ豆みそ使用　長ねぎ　２５．４ｇ,長ねぎ,食料品,ごはんのお供,その他,その他,"['味噌', '長ねぎ', '調味料', 'ごはんのお供']",ダイエーネットスーパー,116.64,108.0,本体¥108.0 / 税込¥116.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/79/4549741026079_th.jpg,2025-12-27T21:11:49.439255+00:00
テーブルランド　まろやかなめ茸　３９５ｇ,なめ茸,食料品,ごはんのお供,漬物・佃煮,漬物・佃煮,"['なめ茸', 'ごはんのお供', '瓶詰', 'きのこ', '調味料']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/82/4902887022082_th.jpg,2025-12-27T21:09:22.015688+00:00
テーブルランド　信濃高原　うす塩なめ茸６０％　１２０ｇ,なめ茸,食料品,ごはんのお供,漬物・佃煮,漬物・佃煮,"['なめ茸', 'きのこ', 'ごはんのお供', '食料品']",ダイエーネットスーパー,181.44,168.0,本体¥168.0 / 税込¥181.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/89/4902887021689_th.jpg,2025-12-27T21:09:21.70275+00:00
桃屋　味付ザーサイ　お徳用　１６５ｇ,ザーサイ,食料品,ごはんのお供,漬物・佃煮,漬物・佃煮,"['ザーサイ', '漬物', 'ごはんのお供', '中華風', '味付け']",ダイエーネットスーパー,429.84,398.0,本体¥398.0 / 税込¥429.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/49/4902880040649_th.jpg,2025-12-27T21:09:18.548086+00:00
桃屋　味付ザーサイ　１００ｇ,ザーサイ,食料品,ごはんのお供,漬物・佃煮,漬物・佃煮,"['ザーサイ', '味付けザーサイ', 'ごはんのお供', '漬物', '中華']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/21/4902880040021_th.jpg,2025-12-27T21:09:10.550896+00:00
